,shelter_zip_code,shelter_city,shelter_description,shelter_name,shelter_state,shelter_website,state_abbr
0,35031,Blountsville,"PO Box 1133 Blountsville, AL 35031  A non-profit organization that provides a safe haven for all kinds of animals in need  Our Mission  To alleviate the suffering of animals  Providing sanctuary or referral to appropriate facilities  Educating the public to the plight of animals and their needs  Promoting compassion and humane treatment for all animals  Encouraging compliance with applicable local, state, and federal laws and animal welfare statutes",Sampson's Sanctuary,Alabama,http://www.sampsons-sanctuary.org/,AL
1,35242,Birmingham,"We are a rescue that takes in litters, orphaned puppies, nursing and pregnant mommas. We have a network of foster homes that all dogs stay in while under our care. All dogs stay within the program until they are adopted.    Email Us:",A Litter At A Time Rescue,Alabama,http://www.petfinder.com/shelters/AL191.html,AL
2,35476,Northport,"The Alabama Society for the Prevention of Cruelty to Animals (Alabama SPCA) is an Animal Welfare Organization based in Tuscaloosa Alabama. The ALSPCA operates in all of Alabama.  Goals and Objectives of the Alabama SPCA  1. Establishing relationships with local Agencies in an effort to save abandoned, abused or injured pets from suffering by establishing and maintaining a network of individuals willing to provide temporary foster care for abandoned companion animals until such time as a permanent home for them would be found.  2. To help educate and inform the public through events, educational sessions/trainings, educational materials and by maintaining a website and/or other on-line services, resources, forums, or operations to enable and enhance the learning and conduct of all aspects of health, care and welfare of dogs, cats and/or other animals.  3. To advocate for the needless euthanizing of abandoned pets by promoting spay and neuter, to increase public awareness with respect to the plight of homeless pets, and to foster a culture of kindness to animals.   Mailing Address: P.O. Box 78 Northport, Alabama 35476",Alabama Society for the Prevention of Cruelty to Animals,Alabama,http://www.alabamaspca.org/,AL
3,36582,Theodore,"Animal Rescue Foundation is a non-profit organization founded in December 1995 and dedicated to promoting the welfare and humane treatment of animals, through rescue, fostering and placement. Adoptable cats and dogs awaiting a permanent, loving family are placed in our foster center, hence its name, the ARFanage. We operate solely from donations. Adoption donations are $95 for dogs, $70 for cats. All pets placed for adoption have been socialized, evaluated and seen by a vet. All are micro chipped, up to date on shots, up to date on heartworm preventative and spayed/neutered before placement. We practice non-lethal population control, including early-age spay/neuter. ARF advocates on behalf of all individual animals about the humanity of sterilization, not euthanasia, as an effective solution to reproduction and unnecessary breeding.   Address: 6140 Rangeline Road Theodore, AL 36582  Call Us: 251-443-1198",Animal Rescue Foundation,Alabama,http://www.animalrescuemobile.org/,AL
4,35121,Oneonta,"Another Option Cat Rescue is a small, no kill rescue in Blount County. We rescue cats from all walks of life, including pregnant/nursing mamas as well as orphaned litters. All cats remain in our care for however long it takes us to adopt them out to an approved loving home. Our Petfinder address is:  http://www.petfinder.com/shelters/AL301.html  Our address is PO Box 1572, Oneonta, AL 35121. We can be contacted through this mailing address or by email, phone or through the contact form on our AOCR website.  205-807-7281",Another Option Cat Rescue,Alabama,http://www.aocr.weebly.com,AL
5,36601,Mobile,"Founded in 2008 to humanely control the populatin through the implementation of TNR!! Our goal is to elevate the silent suffering of Stray and feral cats in the Mobile AL area. There was no agency in existence to assist community cats at that time. The concept of trap neuter return for cats was a lofty concept to Mobile AL. We brought the Ear Tip to this city to demonstrate what proactive behavior can do!!  We still struggle with the City of Mobile Animal Shelter and ordinances which prohibit feeding stray cats!! Last year the county shelter killed 6k cats!    Director : Susan Young, MSW PO Box 1612 Mobile, AL 36633  Call Us: 251 648-7582",Azalea City Cat Coaltion,Alabama,http://www.azaleacitycats.org/,AL
6,36532,Fairhope,"Mission: The Baldwin County Humane Society (BARC!) is a no-kill adoption agency (rather than a shelter). We are a 501(c)3 not-for-profit established in 1979; we were the first and remain the only county-wide animal welfare agency. Our goal is to eliminate the number of abused and abandoned pets through spay/neuter, education, rescue and adoption.  Mission Statement: The corporation was formed to provide a means for the prevention of cruelty to animals within Baldwin County; to assist with the enforcement of lawful means with the arrest, conviction and punishment of all persons violating such laws, and alleviate the over-population of dogs and cats within Baldwin County; to promote the adoption of homeless cats and dogs to good homes; and to help alleviate cruelty to and suffering of animals wherever such may occur.   Address: 306 Magnolia Ave  Fairhope, AL 36532  Call Us: 251-928-4585",Baldwin County Humane Society,Alabama,http://www.baldwinhumane.org,AL
7,35234,Birmingham,"Our mission at Big Hearts and Wet Noses is to rescue, care for, treat, and adopt out as many abused and homeless animals as we possibly can while spreading the word about the horrible facts of animal abuse and all it's different forms. We thank you for your support and time.   Address: Valley Av. Birmingham, Alabama 35209 Phone: 205-834-7860",Big Hearts and Wet Noses Animal Rescue,Alabama,http://www.adoptapet.com/adoption_rescue/77752.html,AL
8,35640,Hartselle,Our rescue was founded in July of 2015. In the past 16 months we have successfully saved 2500 dogs and cats.  We offer our assistant to those needing help with low cost spay and neuter for their pets.   We receive no outside funding and rely on donations from the public and fundraisers to help fund our rescue.,Changing  Animal Rescue,Alabama,https://www.facebook.com/pg/changing42animalrescue/,AL
9,35959,Cedar Bluff,"Cherokee Humane Society is a no kill 501C non-profit organization that is dedicated to saving the lives of unwanted pets. We use a network of Foster Homes to care for our animals with a few kept at the adoption center. Our source of income is from donations. If you would like to support our efforts, donations will be greatly appreciated.    Address: 5015 Alabama Hwy. 9,  Cedar Bluff, AL, 35959 Phone: 256-779-7159","Cherokee Humane Society, Inc.",Alabama,http://www.cherokeehumane.org,AL
