,address1,address2,city,country,email,fax,latitude,longitude,name,phone,shelter_id,state,zip_code
0,,,seward,US,pupsrescueak@aol.com,,60.1039,-149.4439,Peninsula Unwanted Pets Society,,AK56,AK,99664.0
1,P.O. Box 70229,,Fairbanks,US,ldefoliart@juno.com,,64.8378,-147.7164,Pet Pride,907-451-8212,AK33,AK,99707.0
2,P.O.Box 83474,,Fairbanks,US,info@secondchanceleague.org,,64.798,-147.5356,Second Chance League Sled Dog Rescue,(907) 451-0078 ,AK17,AK,99716.0
3,1360 Old Richardson Hwy,,North Pole,US,lcar.alaska@gmail.com,,64.7737,-147.3391,Loving Companions Animal Rescue Inc.,907-488-0516/347-4829  ,AK26,AK,99705.0
4,PO Box 483,,Talkeetna ,US,mush@sleddogsanctuary.com,,62.3239,-150.0984,Sled Dog Sanctuary ,(907) 414-8363,AK68,AK,99676.0
5,PO Box 8051,Mile Post 34.5 Kenai Spur Hwy.,Nikiski,US,aelas@alaska.net,,60.7376,-151.3244,Alaskas Extended Life Animal Sanctuary,907-776-3614 call us!  ,AK15,AK,99635.0
6,,,Wasilla,US,manager@meadowgates.com,,61.5943,-149.4087,Meadow Gates Farm Sanctuary,,AK05,AK,99654.0
7,1224 East 76th Avenue,,Anchorage,US,snowkat@arctic.net,,61.2181,-149.9003,Alaska Humane Society (Adopt-a-Cat),907-344-8808,AK01,AK,99524.0
8,,,Fairbanks,US,agsrescue@gmail.com,,64.8465,-147.7197,Arctic German Shepherd Rescue,,AK58,AK,99709.0
9,2440 E. Tudor Road #105,,Anchorage,US,rescueadogtoday@gmail.com,,61.1903,-149.8913,Alaska Animal Rescue Friends AARF,(907) 727-6728,AK54,AK,99503.0
10,,,Chugiak,US,igloocat@mtaonline.net,,61.4117,-149.443,Kool Kat Rescue,907-863-4484    ,AK53,AK,99567.0
11,PO Box 671214,,Chugiak,US,acat@alaskacatadoptionteam.org,,61.4117,-149.443,Alaska Cat Adoption Team,907-982-2228,AK69,AK,99567.0
12,,,Anchorage,US,mojoshope@gmail.com,,61.1592,-149.8266,Mojos Hope,(907) 230-6394,AK62,AK,99507.0
13,,,Anchorage,US,kkc.carol@alaska.net,,61.1087,-149.7649,Kitty and K-9 Connection,907-240-2343 or 907-345-2096    ,AK19,AK,99516.0
14,Po Box 33226,,Juneau,US,adopt@aksofa.org,,58.3019,-134.4197,Southeast Alaska Organization for Animals,(907) 957-9059,AK63,AK,99803.0
15,7705 Glacier Highway,,Juneau,US,kennel@ghspets.org,,58.3224,-134.4535,Gastineau Humane Society,(907)789-0260,AK04,AK,99801.0
16,P.O. Box 1533,,Haines,US,info@harkalaska.org,,59.2347,-135.4358,Haines Animal Rescue Kennel,(907)766-3334  ,AK08,AK,99827.0
17,,,Anchorage,US,clearcreekkitties@gmail.com,,61.1518,-149.9469,Clear Creek Cat Rescue (CCCR),907-980-8898,AK43,AK,99502.0
18,3575 Heath Street,,Homer,US,alaskamindfulpaws@gmail.com,,59.6742,-151.4588,Homer Animal Shelter,907-235-3141,AK18,AK,99603.0
19,P.O. Box 8783,2409 Mill Bay,Kodiak,US,kodiakanimalshelter@gmail.com,,56.9456,-154.1703,Humane Society of Kodiak Animal Shelter,(907) 486-8077,AK48,AK,99615.0
20,P.O. Box 4450,,Huntsville,US,helpsnap@yahoo.com,,34.7303,-86.5861,Spay Neuter Action Project,(256) 830-8459    ,AL229,AL,35815.0
21,2265 Hwy 47 South,,Monroeville,US,monroecountyshelter@gmail.com,,31.5323,-87.328,Monroe County Animal Shelter,(251) 575-3427,AL98,AL,36460.0
22,P. O. Box 262,,Fairhope,US,info@fairhopecatcoalition.org,,30.5136,-87.8686,Fairhope Cat Coalition,251-367-1711  ,AL258,AL,36532.0
23,22886C US Highway 98,,Fairhope,US,info@baldwinhumane.org,,30.5136,-87.8686,Baldwin County Humane Society (BARC!),(251) 928-4585,AL101,AL,36532.0
24,,,Spanish Fort,US,thirdcoastanimalrescue@gmail.com,,30.6662,-87.8571,Third Coast Animal Rescue,(251)366-6668,AL425,AL,36527.0
25,,,Spanish Fort,US,laura.ruffhouseeasternshore@gmail.com,,30.6662,-87.8571,Dale's Den Rescue,,AL408,AL,36527.0
26,P.O. Box 76,,Magnolia Springs,US,info@straylovefoundation.org,,30.4022,-87.7756,"Stray Love Foundation, Inc.",251-540-2236,AL358,AL,36555.0
27,P.O. Box 476,,Magnolia Springs,US,allaboutdogscr@gmail.com,,30.4022,-87.7756,All About Dogs Coastal Rescue,,AL347,AL,36555.0
28,,,Brewton,US,pawscrossedrescue@yahoo.com,,31.1069,-87.0778,"Paws Crossed Dog Rescue, Inc",(251) 363-9098,AL444,AL,36426.0
29,33940 Hwy 98,,Lillian,US,Lillianvethosp@centurylink.net,,30.4036,-87.4863,Lillian Veterinary Hospital,251-962-2304 ,AL238,AL,36549.0
30,411 Pearl St,,Andalusia,US,aahs@andycable.com,,31.3027,-86.4775,Andalusia Area Humane Society,(334) 582-2665,AL369,AL,36420.0
31,2701 Mall Road,PMB 277,Florence,US,ablythestoddard@gmail.com,,34.765,-87.6986,PAWS (Pets Are Worth Saving),256-383-0690,AL161,AL,35662.0
32,5010 Missouri Street,,Tuscumbia,US,ccaca@bellsouth.net,,34.7238,-87.7013,Colbert County Animal Control Association,256-381-4073,AL199,AL,35674.0
33,112 Tristian Rd.,,Toney,US,challengershouse@mchsi.com,,34.8865,-86.6755,Challenger's House,256-420-5995   ,AL38,AL,35773.0
34,1701 Hwy 72 East,,Athens,US,thedogpound7889@yahoo.com,,34.7955,-86.9702,Athens Limestone Animal Shelter,256-771-7889 ,AL138,AL,35611.0
35,PO Box 2486,,Madison,US,madisonarf@gmail.com,,34.7042,-86.7331,Madison Animal Rescue Foundation,,AL256,AL,35758.0
36,P.O. Box 1531,,Madison,US,adopt@TLCPaws.org,,34.7042,-86.7331,TLC for Paws,256 325-8873,AL282,AL,35758.0
37,"8000 Madison Blvd, Suite D102",Box #141,Madison,US,info@madisonsmallpaws.org,,34.7042,-86.7331,Madison Small Pups Rescue and Adoption,256-426-6160  ,AL355,AL,35758.0
38,300A Beltline Rd SW,,Decatur,US,cwicks@decatur-al.gov,,34.5887,-86.9839,Decatur Animal Services,256-341-4790,AL184,AL,35601.0
39,,,Huntsville,US,info@forrescue.net,,34.6672,-86.5573,Friends of Rescue  (FOR),,AL309,AL,35802.0
40,,,Huntsville,US,huntsvillebunnies@hotmail.com,,34.6672,-86.5573,Huntsville Friends of Rabbits,,AL219,AL,35802.0
41,2676 Dug Hill Rd.,www.anewleash.org,Huntsville,US,pets@anewleash.org,,34.7305,-86.4684,"A New Leash on Life, Inc.",(256)489-PETS(7387) ,AL144,AL,35741.0
42,4950 Triana Blvd,,Huntsville,US,,,34.7081,-86.6157,Huntsville Animal Services,(256) 883-3783,AL70,AL,35805.0
43,139 Bo Cole Road,,Huntsville,US,ninaark@aol.com,,34.7189,-86.6644,The Ark Inc.,(256) 851-4088,AL109,AL,35806.0
44,,,Huntsville,US,corascrittersanimalrescue@gmail.com,,34.7281,-86.5704,Cora's Critters Animal Rescue,256-520-0916,AL426,AL,35801.0
45,19135 Nuclear Plant Rd,,Tanner,US,peaceloveandanimals@gmail.com,,34.7104,-86.9948,"Peace, Love and Animals",(256) 233-4343,AL277,AL,35671.0
46,,,Huntsville,US,forgottenfelineshsv@yahoo.com,,34.7303,-86.5861,Forgotten Felines Inc.,,AL143,AL,35815.0
47,2812 Johnson Road,,Huntsville,US,info@ghhs.org,,34.7081,-86.6157,Greater Huntsville Humane Society,256-881-8081  ,AL43,AL,35805.0
48,,,Dothan,US,adopt.southerncharmers@gmail.com,,31.2061,-85.4025,Southern Charmers Animal Rescue and Sanctuary,334-718-4227,AL372,AL,36301.0
49,2209 fox run rd,,Scottsboro,US,melissautech@yahoo.com,,34.9161,-86.0881,Safe Haven no kill pet rescue,256-919-7290,AL193,AL,35768.0
50,1027 Opelika Road,,Auburn,US,jonna@woofave.com,,32.6036,-85.4747,Woof Ave Rescue,(334) 502-7900,AL441,AL,36830.0
51,PO Box 771,,Troy,US,troyanimalrescueproject@gmail.com,,31.8029,-85.965,Troy Animal Rescue Project,,AL436,AL,36081.0
52,21426 Highway 82 East,,Union Springs,US,bullockcountyhumane@yahoo.com,,32.1405,-85.714,Bullock County Humane Society,334-738-7387   ,AL300,AL,36089.0
53,25944 HWY 84/134,,Enterprise,US,sosshelter1981@gmail.com,,31.3282,-85.8513,SOS Animal Shelter,334-393-1743  ,AL21,AL,36330.0
54,,,Daleville,US,janclan@juno.com,,31.3141,-85.7205,All Breed Rescue and Adoption,(334) 701-4417,AL331,AL,36322.0
55,2804 Hwy 84 West,,Daleville,US,carousel36360@gmail.com,,31.4388,-85.6468,Lil' Tykes Rescue & Adoption,(334) 598-2473,AL41,AL,36360.0
56,,,Decatur,US,k9.rescue.rangers@gmail.com,,34.5449,-86.9857,Rescue Rangers,256-227-4270,AL308,AL,35603.0
57,86 Gum Springs Cut Off Rd.,,Hartselle,US,mchs@hughes.net,,34.4421,-86.9323,Morgan County Humane Society,256-773-7222 ,AL197,AL,35640.0
58,1140 Ware Drive,,Auburn,US,lchs1140@leecountyhumane.org,,32.6097,-85.4808,Lee County Humane Society,334-821-3222,AL66,AL,36832.0
59,,,Seale,US,vw329@aol.com,,32.2969,-85.1686,Bow Wows and Meows Pet Rescue,,AL211,AL,36875.0
60,P.O. Box 216,200 West Industrial Drive,Headland,US,charmheadland@gmail.com,,31.3649,-85.3221,"C.H.A.R.M., Inc. (City of Headland Animal Rescue Mission)",334-693-9097   ,AL364,AL,36345.0
61,,,Headland,US,furrypets1@hughes.net,,31.3649,-85.3221,Furry Friends Rescue,,AL190,AL,36345.0
62,,,Ashford,US,catsnkeys@yahoo.com,,31.1924,-85.24,Kee Kitty Friends,706-464-1172,AL359,AL,36312.0
63,1702 N. Eufaula Ave.,,Eufaula,US,southernsoulsanimalleague@gmail.com,,31.8776,-85.1751,Southern Souls Animal League,,AL394,AL,36027.0
64,,,Crossville,US,info@ffosk9resq.org,,34.2538,-85.9934,Furever Friends of the South K-9 Rescue,,AL319,AL,35962.0
65,5015 Alabama Highway 9,,Cedar Bluff,US,humanesociety@tds.net,,34.22,-85.6081,"Cherokee Humane Society, Inc.",256-779-7159 ,AL214,AL,35959.0
66,2601 Jordan Road SW,,Ft. Payne,US,ljohnson@dekalbcountyal.us,,34.4538,-85.6944,Dekalb County Animal Adoption Center,256-304-0474,AL240,AL,35968.0
67,101 Coliseum Ave.,,Andalusia,US,christin.ball@andalusiapolice.com,,31.3027,-86.4775,Andalusia Animal Shelter,334-222-8705 ,AL181,AL,36420.0
68,712 13th Street,,Phenix City,US,eahs4pets@yahoo.com,,32.4921,-85.042,East Alabama Humane Society,334-298-6446,AL265,AL,36867.0
69,P O Box 862,,Camp Hill,US,adopt@rescuek911.com,,32.8061,-85.6503,Rescue K9-1-1,256-896-4694,AL30,AL,36850.0
70,PO Box 831107,,Tuskegee,US,maconcountyhumanesociety@yahoo.com,,32.423,-85.6914,Macon County Humane Society,(334) 727-0776,AL149,AL,36083.0
71,"104 Animal Shelter Road,",,Wedowee,US,randolphanimal@centurytel.net,,33.1683,-85.5575,Randolph County Animal Shelter,(256) 357-0101,AL212,AL,36278.0
72,9822 AL Hwy 71,,Pisgah,US,riverrun@farmerstel.com,,34.6812,-85.8472,Jackson County SPCA,256-451-8401,AL135,AL,35765.0
73,6140 Rangeline Rd.,,Mobile,US,inquiries@animalrescuemobile.org,,30.6332,-88.0877,Animal Rescue Foundation,(251) 586-5534,AL31,AL,36605.0
74,7665 Howells Ferry Road,,Mobile,US,mcacshelter@mobile-county.net,,30.7271,-88.1666,Mobile County Animal Shelter,251-574-3647  ,AL218,AL,36618.0
75,43 Ratley Rd,,Ashland,US,claycountyanimalshelter@gmail.com,,33.2744,-85.8353,Clay County Animal Shelter,256-354-1453,AL434,AL,36251.0
76,4200 Brooke Avenue,,Gadsden,US,adoptions@hsprac.com,,34.0224,-86.0488,Humane Society Pet Rescue and Adoption Center,(256) 442-1347,AL121,AL,35904.0
77,,,Ohatchee,US,shelly@bamalegal.com,,33.7983,-86.0083,Hope's Rescue,(256) 453-2130,AL221,AL,36271.0
78,620 Zeigler Circle West,,Mobile,US,robin@mobilespca.org,,30.6952,-88.1792,Mobile SPCA,251-633-3531  ,AL67,AL,36608.0
79,,,Jacksonville,US,angiepersch@me.com,,33.8225,-85.7673,"Rockin P Rescue, Inc. (Boxer Rescue)",256-282-9304   ,AL08,AL,36265.0
80,,,Mobile,US,info@saveastray.org,,30.6952,-88.1792,Save a Stray,,AL343,AL,36608.0
81,,,Mobile,US,krewemobile@gmail.com,,30.6674,-88.1803,Krewe de Rescue,,AL373,AL,36685.0
82,P.O. Box 852072,,Mobile,US,Maryann@AdoptStarDogs.org,,30.6674,-88.1803,Southern Treasures Animal Rescue,,AL395,AL,36685.0
